# Constructed from biom file
#OTU ID	m54271_200325
0e90fe0eb6477fce5d72256bbd721b8b00d11f53	22.0
a5c827e1a4665b1f742fb0ed52705e699f57ca83	1.0
57ff56a6ad80b9d3a0fb7d0d91478f4e3dd9f049	3.0
c9db7b933ea44b48743fb491588cfc286b5dcd91	1.0
7cc5cb84e99b0b75905f0ffea0bcf72e9b31c5a0	1.0
bbd2790f64982d7ff3582f8fa1c7edf4bec62fe9	1.0
02119e33b157d83bee614350a2f007edc8030f5d	98.0
0135bea729d31b3d56847a15fabadc1d7088cd31	32.0
01ae18f4bb12d44b3be31a26d2f893081ca738ac	1.0
be1ebaa94010155d2fff08c808b31b1df8cb86ce	1.0
65e86785fb62dc03571a98a5aff4e5b3fb92ba04	1.0
0b7f0813eefca73582240021081e79cc9d907b1d	2.0
abdbbd3b97b1b5e2964b3159e97d294a0db9de24	1.0
9528bb326a70ad54bb97073fa05e37a062bf4001	1.0
3ecf21b366b21e6e2465fbcd41c87c3b3d8217c0	1.0
c29cb27b6b235b580c5538ff8f715e25a84cfc3a	1.0
cef927aaca473f8ab9a382231063df354ce75f91	1.0
8d7e29fee0ba3944a40f6007fbb1bbe01fc0c651	2.0
6feae7970fefe096b2ff38470088fc5980f86733	1.0
9b94242441c90176b2e196a3a7ba12ab3ec57a6a	2.0
39584604cc24e759c4798ffbe172a49a1df6b11c	1.0
042d99f5c9a8e33488d25c82a81f78297b739415	1.0
c7d9d32721ca6674358f341d3c29232a3c890230	1.0
3f63063217bef8b6a134a57b5d7592fdd16fa7a0	1.0
9f68bda71cc4f15232b7d8b84ca76beb13745cfe	1.0
747d55abcbd49db8d888d9901c9ac4a0f95bb783	1.0
190dc1436932d83944a1962f85d8c3937f26a8fe	3.0
40046f2d368976eb92683f8172678ceaaea3c649	1.0
e2b53607f6516d19385b8440726ffb9ee333ace3	1.0
db8f058d900d796f5e88a192a040539a9e796c57	1.0
2484842e231ffa28ed56a89fdd4a87bb1ee99a8e	1.0
275ebc4461530531465cc770956499c37e45dc86	5.0
f66fd1c2d837a034b5a9d08af00f7a4567db5d1e	1.0
6dbccb2433b2d3e8e5e4da3e07d7ad824969d465	1.0
bdf29fd843378ede98fa0d096bfb381a08594ff2	1.0
38b464740cb2517247515b9e90d7586db631bd38	2.0
52bb0066d070f83463a2af31f3d35298886d6778	3.0
4da6f1fd8e5cbc80c260724e7fc1e53090bc14cb	4.0
8f5e3bc601b87b01a8cd63e1d77091b30819f8bf	1.0
24c3771e18785ed6492cd72dc1b0c39c9817f7fa	4.0
70ff36037bba20059257fbbc969909f4afeb78d7	2.0
ba1307a9f7a9afbd082afd950dc1d2c828688044	2.0
c7d1426dd83b76a848aeae0ae2427927f6953ffa	2.0
9488a47cd8554e6d8d81385cba037f6af9f875a6	1.0
679b86b0d003848f4f068a9d22e6064546160adc	1.0
04f17113bdf6f3cdc90478f941f1c9d2fc2f80e6	9.0
246cff6fa479c4002535c7bbcef37408148a42e7	1.0
2612461fe97879a35254e7a2d8be2ecbb353237f	2.0
be4152176cc1ffc19f16d135a875eab905d86434	1.0
45ac690a93e61b7feac1a4706a718af2529acc15	1.0
5e3902137f7d9201503927b1f5b6d8565c19a658	1.0
4f655296577b9de7d8c4412e33bc3211ac29a1d4	1.0
1bc39ec9aebb48849ae5de0c5c9f61bef77f29dd	2.0
020fde58f5a70f94e2a6ce86a380da4e69de6df9	39.0
dbbdfd1f2bc6850c1a084d86dc2d82d7b07a7bbb	1.0
e46b678fc4c77663768b9c6d5b30de51d2d3abcb	1.0
2d645b98b3cf2631c835c28732ea3eed7f4b9c12	1.0
70acd2bf34abed7a4c2a1941bf0188c916170285	1.0
1fb72be33d4805b6767979a405963c3b11d68c7d	1.0
1aae772f2420eb589a665900f8ba372a90a84c93	1.0
aefcd2bbaaaa155705276ceec6e2d3fc59634243	1.0
cc0e2169b6cc185e62be096f8a3c40d3d6747822	1.0
b8ec4fe04ad2b17386af76ee405d17ef80bef4d5	1.0
631679f7aca8af45d3aff5e2c0b09795d9a76c33	3.0
824734e74fbfc6935edc64502360be51cf40beea	1.0
4fa960a73e8cc03f3d7d9a4e897fb9bebf21614f	1.0
0ba07977d097fecf61a95a49c2b25463e674c187	5.0
90c80b0b34707f020f00889a4e8ddbb0744d50d6	2.0
009f940f9102c606777af3e983233805de1afdd4	50.0
686cbd8b71fdad4c9dce5f6e2d05b783fa8991f5	2.0
b5be0b20f9705a1eb95d536511b8d530a0902a33	1.0
b663d524b244e1a9acd492c106884c265db7e922	1.0
9147a0111d7bae7557b21d48d889359fb0a0191d	1.0
698cf7b6411117255fe64e3024d410cf5940bf72	1.0
057a0b18e327f5effd771e2c2dfc0c28daaf473f	10.0
168ab4ca8929cffe29c76f5c89d94f1c90de3b77	4.0
9e6e668ec868ad062b797c3cf5ba31f942d09275	2.0
e8fa27bee97ae72d1c0a10f958751fbe086b6094	1.0
96162c3affdd133c830719698ed316b0f619ee1b	1.0
2e754a40cc721d589b006cc83f0f8a1baf43ff0e	3.0
d72d6b5720b61da6d5b70ff836340b08cbdb7009	1.0
a5d29fe1c2181e519c9d55b43f1cc1479026625a	2.0
38e7a0d1fc396db3fe702b651842fa2011c41015	1.0
007d3acedf5bd5dfac56d861d039b564b1706ce9	1.0
395e46b408d5d622ecbcdb8a2f07e4fb55741f23	3.0
9bb8f135585c22fb475ed407b68394da443d09f4	1.0
5300958aed0e9636b65f60a50c2f793572282fbb	3.0
ad93c4638ecc6cd4215e6eda6d61001c477370e9	2.0
0c455248f6a4eeefbe0224aefff15e5a74a47094	4.0
7bee8f2ec8ede594097c57a8d8f4b521c91bb489	1.0
7c3999af2652ff1356363f8c3d4105e874bc5685	1.0
b0f21577d5643b290bdbad14be5a566646a34688	1.0
421e3b1e9975e043b3f98e0efda58b39bd34753e	3.0
17c92f36ba262dedc01a25aa0a48aaf0499a67a4	1.0
0a9b5bf41a8a4cc131592146fac3ec83c1fb096a	1.0
2806edf40919f54231046e6e87ab65582ec2a2a9	1.0
8cd97c5811e62b36ee5ad901f816c146c6a01abc	4.0
9dcf8b7a0427b61ca9453c4263f95ea2da6261c8	1.0
6c8910140ba3252ca5a8bcb90ad847aa49a88a30	2.0
c82535db0a0e4de0dafd58b1bb0b89b148ea8e30	1.0
ff6318743cf06858781b21ae03f7831e20fc228b	1.0
ecea1d98288e91312960d7de382d3186c988972a	1.0
2a2c73296c833c854d8a9d923158e030a939f9b4	1.0
83a6472ad8c6b291f5fe6d3304bc76f7b2bc5e5b	2.0
640b368e33b323696acfe8bfd731b297bf2b0195	2.0
2e20a59d965aa4f020c6b36dee077950bc489620	1.0
1084a93fd3df416e60728f93698aae414f600fc9	2.0
813918906c7ae5d3e65ae7406355cfbaad479215	1.0
8ddc2ed06558a8c1af9f5b5273e73db5b459c71f	2.0
7002ca418b9311f26a3459990a85961ddc502e6e	1.0
76f771cc83be3095556004fb2e989265111a78c6	5.0
11f80d183c512435b505bf4169e407f158373225	13.0
64fe150574794870060b91ebdfaa6f9e1c031291	2.0
018566f2790c7e3bdda871fbfd6acc4af79a1610	1.0
e02933d974c9b15f2ba7650b41d8128d60b5bbbe	1.0
0da87f8c90859b3fe011fb69d74f63459ddaabd5	1.0
7ce3fd612a7a239cb87fcada81c6b12f17ad3275	2.0
5e6c47ab107a22b00ec283709d9745da723987ae	3.0
852b8bf271c5f1161476f3d38178f85f1da0f9ca	1.0
10e42d28270f680728f09844da3307ae6155a793	3.0
7f50e135ca61fd58e5aa362f8b35b07959c9a437	1.0
068d0517034170c78b1290f0f847217ca276ae8c	1.0
b8186ce13a42f75e13d606bbd71668564e60ee82	1.0
9022df5620d7cf6a7d625c17430c8d6920fec2c5	1.0
dfc73b9e5abecddf2f51e22bf81d952a19832d83	2.0
513672f97b608b6bd885477f73c1e726e72a9374	1.0
2cc134856d20782e4962ec86d4190b7ce0dc8b18	1.0
40bfc23eee1ad4382332ba14f1fdca7e3d3be477	4.0
742c3983567ae5ebfa419dac69a7ac1c2ef719db	1.0
b302374d67639c616920e4f93e0081f4f40f8945	1.0
07b98965d3c66b8bd4096ec65b9a71444862bfb5	3.0
257ca19250e61966a71730979c00d2d225cde67a	1.0
6a27b985d79676447a05e72c5fc261a7c1886cd5	1.0
f57142262a32ece268519f11e517fb7a982902ff	1.0
08769d9edde0974c7de45d3e9c167d8fb6ba2dbd	20.0
7fb88ca7da94c1310e78c0b33cbc6b5f2f07c211	1.0
14885801c17b6eac3a6ba1199784ba30467fd12e	6.0
3f028479cab43fd559918ee0e255d55de017ed4b	1.0
1c8dd9a6370fb86c86d48e23cfb71a8c04b8e952	1.0
1d08099d9ab651610fc349e159f208b25b84825d	1.0
a9243461d2399d4fdd1a91109bec3b39173e194a	1.0
06e4cbf737cf030b3fc4985ec2527f6894502825	1.0
37c80efc1c7aa5c4849737873a580f2f254944d1	1.0
3606a66080cad3d0e1bc199ccb573807d71d612a	22.0
37a4bb64a3de6842e7003fd974e0946688e6944d	1.0
e862b1f203f74d82dabab698a949d1d27cf29317	1.0
a2b1288a7947bfa158ff7be02087d1457873c185	2.0
2ec2a2eb4de010aa79dfe5da44dd80461dfd61fc	1.0
43815643b2cf338c700d3e22bf4ee8867e3537dd	1.0
b37d07788314a75bfe5ec83caec9330db261d4d9	1.0
9b2c2c1f6fc0abef61311b2dfcde06ad8e4f454f	1.0
e83fb8a44f483d249108c469a3ab954a2be0cccb	1.0
f4c534e9669344e17b631b9f0acc454532c7cd43	1.0
45ed0520895f6a9e0aabe17d0e37b2d8800599fe	1.0
899bfbf3d81cd48603196e6797934e2bd1498c8f	1.0
1af850ec34ba62b4da45e8706a0ce5e98cb0537a	1.0
8c6f8ba049dc084b746869859c24197561479d4f	1.0
5cf9dfeba295e1587f1cd91c149c1bf038b87dc8	1.0
37e50aa40d5f083c03ab4142b960b5d2dc8b52fc	1.0
